Географические координаты,Глубина землетрясений,Магнитуда,Тип грунта,Геологические структуры,История землетрясений,Активные сейсмические зоны,Распределение активностей,Глубина пластов,Тектонические движения,Сейсмогенные процессы,Интервал времени,Погодные условия,Сейсмографические данные,Эпицентры,Подготовленность,Геодинамические процессы
"89.9218191972116, 52.03826026115428",10.650736109539817,2.7,Глина,Ложе реки,Средняя,Да,Равномерное,10,Вертикальные,Тектонические,70,Пасмурно,Не доступны,Не установлены,Низкая,Активные
"26.404013460680368, 2.9845622430135563",66.38192231684513,3.6,Глина,Равнина,Низкая,Нет,Неравномерное,2,Сдвиговые,Тектонические,39,Солнечно,Не доступны,Установлены,Высокая,Активные
"1.6142056781351655, -41.25086092466313",46.21766155353507,6.9,Скала,Равнина,Средняя,Да,Неравномерное,9,Сдвиговые,Вулканические,27,Дождь,Не доступны,Установлены,Средняя,Пассивные
"60.981245635156164, -67.0923475276973",48.8284155788317,5.5,Скала,Ложе реки,Низкая,Да,Неравномерное,4,Сдвиговые,Вулканические,5,Снег,Доступны,Установлены,Низкая,Активные
"62.45389457943189, 47.084130769768905",14.367388852000381,2.4,Песок,Плато,Низкая,Нет,Равномерное,4,Вертикальные,Вулканические,77,Солнечно,Не доступны,Установлены,Средняя,Пассивные
"50.95458188080104, 178.77675942946786",53.28311107010524,3.2,Глина,Плато,Высокая,Нет,Равномерное,1,Горизонтальные,Вулканические,35,Пасмурно,Доступны,Не установлены,Высокая,Активные
"83.83319994792558, -179.1095999481689",94.22078812963191,1.9,Глина,Плато,Средняя,Да,Неравномерное,1,Горизонтальные,Вулканические,96,Солнечно,Доступны,Не установлены,Высокая,Пассивные
"62.83648876997866, 123.92954333191045",80.14640800251412,6.2,Гравий,Ложе реки,Низкая,Да,Равномерное,5,Сдвиговые,Волнообразные,86,Снег,Не доступны,Не установлены,Низкая,Активные
"52.92459796349893, 47.160447715113236",75.29557840895426,3.6,Песок,Равнина,Высокая,Нет,Неравномерное,5,Сдвиговые,Волнообразные,58,Пасмурно,Не доступны,Не установлены,Низкая,Пассивные
"76.61936385697598, -70.38493392110304",63.205756020498725,2.4,Скала,Ложе реки,Высокая,Да,Равномерное,5,Сдвиговые,Тектонические,95,Пасмурно,Доступны,Установлены,Высокая,Пассивные
"6.003474734306005, 27.405797177277464",90.49691990295513,1.4,Гравий,Равнина,Высокая,Нет,Равномерное,2,Сдвиговые,Тектонические,97,Пасмурно,Не доступны,Не установлены,Высокая,Активные
"82.06802796911391, 136.8264189867869",84.75211139312556,4.2,Скала,Равнина,Средняя,Нет,Равномерное,8,Горизонтальные,Тектонические,27,Пасмурно,Доступны,Не установлены,Средняя,Активные
"35.65362932006029, -43.994119383081625",64.30434261941045,4.5,Песок,Плато,Высокая,Да,Равномерное,7,Сдвиговые,Волнообразные,22,Дождь,Доступны,Установлены,Средняя,Пассивные
"16.77398283922091, 85.53641816883203",53.21443644279218,5.5,Глина,Гора,Низкая,Нет,Неравномерное,7,Вертикальные,Тектонические,38,Снег,Не доступны,Не установлены,Низкая,Пассивные
"49.41912394760959, -105.91082374301882",22.305889788103556,2.3,Скала,Ложе реки,Средняя,Нет,Неравномерное,9,Вертикальные,Вулканические,58,Пасмурно,Доступны,Не установлены,Средняя,Пассивные
"45.70272439878225, -116.77728334247703",65.89215803191932,7.0,Глина,Плато,Низкая,Нет,Равномерное,1,Горизонтальные,Вулканические,94,Пасмурно,Доступны,Не установлены,Средняя,Пассивные
"78.61960784323998, 90.3885403750898",33.603478135787896,4.1,Глина,Плато,Низкая,Нет,Неравномерное,9,Сдвиговые,Вулканические,93,Снег,Не доступны,Не установлены,Средняя,Пассивные
"12.965313769351955, -76.82929912191176",74.17339705032849,6.9,Скала,Плато,Высокая,Нет,Равномерное,6,Вертикальные,Волнообразные,9,Снег,Доступны,Не установлены,Средняя,Пассивные
"58.5446632244709, 60.153662919689936",2.4872922390481254,7.0,Скала,Ложе реки,Средняя,Да,Неравномерное,7,Вертикальные,Тектонические,47,Солнечно,Не доступны,Установлены,Высокая,Пассивные
"80.12407315306618, 17.74527596049589",7.365926605202425,4.9,Гравий,Плато,Высокая,Нет,Равномерное,10,Горизонтальные,Волнообразные,4,Снег,Не доступны,Не установлены,Низкая,Активные
"52.562301447657745, 144.7568289853524",65.71366299521691,2.4,Гравий,Гора,Высокая,Нет,Равномерное,2,Горизонтальные,Тектонические,69,Пасмурно,Доступны,Установлены,Высокая,Активные
"31.988152054416727, -162.0848615131614",50.593930250820954,6.6,Песок,Плато,Высокая,Нет,Равномерное,3,Вертикальные,Вулканические,92,Пасмурно,Доступны,Установлены,Высокая,Пассивные
"4.6235363291593945, 130.22811673301203",49.71089671978902,2.4,Гравий,Равнина,Низкая,Да,Неравномерное,5,Горизонтальные,Волнообразные,83,Дождь,Не доступны,Установлены,Высокая,Активные
"86.764519904861, -80.47770384910581",93.25644424935197,4.4,Скала,Равнина,Высокая,Нет,Равномерное,6,Горизонтальные,Тектонические,8,Солнечно,Не доступны,Не установлены,Средняя,Активные
"67.59793130021998, 71.44184102865276",50.08003204008617,1.6,Гравий,Ложе реки,Средняя,Да,Равномерное,6,Вертикальные,Волнообразные,72,Пасмурно,Не доступны,Установлены,Средняя,Активные
"68.22430652369721, 145.98194952417725",86.61475730966177,5.7,Глина,Плато,Низкая,Нет,Равномерное,10,Сдвиговые,Тектонические,70,Снег,Не доступны,Установлены,Средняя,Пассивные
"0.970444317653939, -109.43358347746195",98.6953153969288,4.2,Скала,Равнина,Средняя,Нет,Неравномерное,8,Вертикальные,Тектонические,12,Дождь,Не доступны,Установлены,Высокая,Активные
"84.84252886827468, -104.86735016113971",64.32619452290336,3.1,Гравий,Равнина,Средняя,Нет,Равномерное,5,Горизонтальные,Тектонические,15,Дождь,Не доступны,Не установлены,Низкая,Пассивные
"1.1933368082429974, 139.37844128523625",75.99826745751379,4.9,Песок,Равнина,Высокая,Да,Равномерное,2,Сдвиговые,Волнообразные,59,Дождь,Не доступны,Не установлены,Низкая,Пассивные
"48.992699176416515, -94.52427603353661",96.35322556153912,7.3,Гравий,Плато,Средняя,Нет,Равномерное,2,Горизонтальные,Тектонические,8,Солнечно,Доступны,Не установлены,Низкая,Активные
"0.7078832304472749, 166.22606535756267",80.98183336933278,1.2,Скала,Ложе реки,Средняя,Нет,Неравномерное,10,Горизонтальные,Тектонические,51,Дождь,Доступны,Не установлены,Средняя,Пассивные
"70.5396975803801, -136.1016249714965",47.90097215754989,7.8,Гравий,Ложе реки,Низкая,Да,Равномерное,5,Вертикальные,Волнообразные,78,Дождь,Не доступны,Установлены,Низкая,Активные
"37.25750178901483, -37.248694462403876",34.23861835357649,5.2,Гравий,Гора,Высокая,Да,Неравномерное,6,Горизонтальные,Волнообразные,49,Дождь,Доступны,Установлены,Низкая,Пассивные
"36.475795872185195, -76.80197526138032",89.02010087496615,7.8,Скала,Равнина,Средняя,Нет,Равномерное,10,Горизонтальные,Тектонические,72,Пасмурно,Доступны,Установлены,Высокая,Активные
"65.98728973159501, -51.481176514638804",62.89555370094651,4.0,Гравий,Плато,Высокая,Да,Неравномерное,8,Горизонтальные,Вулканические,51,Солнечно,Доступны,Установлены,Высокая,Пассивные
"26.50229678437856, -49.89712101556137",77.15404981161845,3.1,Гравий,Равнина,Низкая,Да,Неравномерное,5,Сдвиговые,Волнообразные,68,Дождь,Доступны,Установлены,Низкая,Активные
"5.972067156416193, 6.550132750601165",10.777128180944638,5.2,Гравий,Ложе реки,Низкая,Нет,Неравномерное,10,Вертикальные,Вулканические,26,Дождь,Не доступны,Установлены,Высокая,Активные
"73.98023010221861, 109.21649272315165",72.95309807691527,6.3,Глина,Равнина,Средняя,Нет,Равномерное,6,Горизонтальные,Тектонические,17,Снег,Не доступны,Не установлены,Высокая,Активные
"22.608323404279446, 127.49791313231265",7.233587781358174,5.5,Глина,Равнина,Высокая,Нет,Равномерное,7,Горизонтальные,Волнообразные,50,Снег,Доступны,Не установлены,Высокая,Пассивные
"47.47961361004036, 4.142602921595596",20.88785170831993,2.9,Глина,Гора,Низкая,Да,Равномерное,1,Сдвиговые,Тектонические,76,Пасмурно,Не доступны,Не установлены,Низкая,Пассивные
"88.56988708641909, -145.50948732160725",41.79241912264425,3.9,Гравий,Равнина,Высокая,Нет,Равномерное,7,Вертикальные,Вулканические,79,Пасмурно,Не доступны,Установлены,Средняя,Пассивные
"2.0106765632798784, -116.60099723579035",23.03973827552401,1.5,Глина,Равнина,Высокая,Да,Неравномерное,8,Сдвиговые,Тектонические,61,Пасмурно,Не доступны,Не установлены,Средняя,Пассивные
"67.19460489325348, 135.66134498778678",23.524795776541794,6.7,Гравий,Гора,Низкая,Нет,Неравномерное,10,Сдвиговые,Тектонические,71,Дождь,Доступны,Установлены,Средняя,Пассивные
"77.57149614076006, 150.21714934474926",4.484303745082458,7.6,Скала,Равнина,Низкая,Да,Неравномерное,8,Горизонтальные,Вулканические,23,Снег,Доступны,Не установлены,Низкая,Активные
"19.49100114944788, -148.95612706402872",5.250886410012159,4.9,Глина,Равнина,Высокая,Да,Неравномерное,9,Сдвиговые,Тектонические,4,Снег,Доступны,Не установлены,Высокая,Пассивные
"57.01428007532698, -72.52110013195038",30.59941257804046,5.6,Песок,Гора,Средняя,Да,Равномерное,2,Вертикальные,Волнообразные,78,Снег,Не доступны,Не установлены,Низкая,Пассивные
"19.566721547071523, 102.62849726654105",29.887880666297136,4.0,Глина,Равнина,Низкая,Нет,Неравномерное,5,Горизонтальные,Тектонические,10,Солнечно,Доступны,Установлены,Высокая,Пассивные
"55.656883622714474, -169.0060828623025",95.91064077301253,1.1,Скала,Гора,Средняя,Нет,Неравномерное,7,Горизонтальные,Тектонические,23,Дождь,Не доступны,Установлены,Высокая,Активные
"89.61352265180278, 44.90056045818724",49.386856005059705,7.1,Гравий,Равнина,Низкая,Да,Равномерное,8,Вертикальные,Волнообразные,100,Пасмурно,Не доступны,Не установлены,Высокая,Активные
"60.86697757578882, 154.44565275810243",76.80463907994744,7.1,Гравий,Ложе реки,Высокая,Нет,Неравномерное,9,Сдвиговые,Вулканические,11,Солнечно,Не доступны,Установлены,Низкая,Активные
"64.46446578138868, -91.24295805108073",83.77760820592415,6.8,Гравий,Ложе реки,Высокая,Да,Неравномерное,7,Вертикальные,Волнообразные,84,Пасмурно,Доступны,Установлены,Высокая,Активные
"4.91289350647906, -166.35401435289046",90.01029728269158,5.7,Глина,Гора,Средняя,Нет,Равномерное,4,Сдвиговые,Вулканические,62,Дождь,Доступны,Установлены,Низкая,Активные
"0.9168247727965351, 171.66634713387782",41.77747635308285,2.0,Гравий,Ложе реки,Высокая,Да,Неравномерное,7,Сдвиговые,Волнообразные,93,Дождь,Не доступны,Установлены,Низкая,Активные
"10.071453082594093, 28.088841363347598",91.39768903541751,4.2,Гравий,Гора,Средняя,Нет,Равномерное,7,Горизонтальные,Тектонические,43,Солнечно,Доступны,Не установлены,Средняя,Активные
