День недели,Месяц,Время суток,Праздничные дни,Класс обслуживания,Кол-во оставшихся билетов,Направление полета,Продолжительность полета,Авиакомпания,Тип воздушного судна,Температура воздуха,Осадки,Скорость ветра,Наличие мероприятий,Наличие местных праздников,Наличие праздников выходного дня,Кол-во бронирований,Кол-во проданных билетов,Кол-во пассажиров на борту,Средняя цена билета,Рейтинг авиакомпании,Рейтинг аэропорта
Wednesday,04,вечер,True,эконом,212,news,1,Robinson LLC,pull,-1,Солнечно,46,False,True,True,36,103,243,194,3,3
Tuesday,04,утро,True,эконом,265,fill,24,Whitney-Fisher,might,20,Солнечно,28,False,False,True,31,139,153,442,4,1
Sunday,10,утро,True,эконом,254,statement,16,Beard-Burch,minute,5,Облачно,9,True,True,True,14,169,15,499,3,4
Sunday,08,ночь,False,эконом,253,its,20,"Wolfe, Rosales and Mejia",work,-14,Облачно,6,False,False,False,124,41,296,361,3,1
Sunday,12,утро,True,бизнес,41,later,24,Howell-Koch,always,-8,Дождь,4,True,True,False,54,137,183,165,5,3
Friday,04,утро,False,первый класс,161,gas,9,Wilson-Crawford,fall,5,Солнечно,41,True,True,True,141,45,9,702,3,1
Thursday,11,день,False,первый класс,61,fast,1,Crawford LLC,general,-5,Облачно,32,False,False,False,55,177,3,203,5,2
Monday,04,ночь,True,первый класс,38,door,8,"Ferguson, Peterson and Hensley",kid,2,Облачно,0,True,True,True,48,163,198,301,4,3
Friday,03,ночь,False,первый класс,247,even,8,Taylor Inc,particular,32,Солнечно,39,True,False,True,50,122,143,924,5,5
Saturday,07,ночь,True,эконом,23,conference,20,"Martinez, Butler and Davis",decade,-1,Облачно,34,False,False,True,165,198,7,410,2,2
Wednesday,05,утро,False,бизнес,248,policy,24,Thomas-Rodriguez,yourself,-6,Облачно,27,True,True,True,71,168,6,457,1,3
Thursday,06,утро,True,бизнес,297,win,10,Young-Carroll,south,-9,Дождь,46,False,False,False,149,114,223,753,1,4
Tuesday,07,день,True,первый класс,275,charge,2,Macias Ltd,girl,8,Снег,15,False,False,True,172,55,224,118,2,1
Friday,08,день,False,бизнес,85,most,15,Rocha-Townsend,late,37,Облачно,13,True,True,True,131,163,232,500,1,4
Monday,11,утро,False,бизнес,256,admit,5,Woods and Sons,national,2,Солнечно,4,False,False,True,56,35,89,927,5,2
Wednesday,08,ночь,False,бизнес,6,our,8,Smith and Sons,modern,6,Облачно,14,True,True,True,61,46,142,168,2,3
Tuesday,03,утро,False,бизнес,275,employee,7,Neal Ltd,inside,33,Дождь,40,False,False,False,162,154,12,252,4,5
Friday,04,ночь,True,бизнес,69,but,5,"Garner, Rodriguez and Kane",father,40,Дождь,3,False,False,False,16,113,102,430,4,3
Friday,01,ночь,False,первый класс,84,night,6,Ramirez LLC,PM,-14,Солнечно,28,False,True,False,51,116,112,870,5,2
Tuesday,05,утро,True,эконом,179,whether,23,Jones Ltd,increase,30,Снег,21,True,False,True,117,196,147,791,4,5
Monday,09,утро,True,эконом,114,effort,12,Bass and Sons,decade,39,Дождь,26,True,True,True,41,155,191,892,1,3
Monday,08,день,False,бизнес,281,red,12,Briggs-Williams,professional,24,Солнечно,40,False,True,False,54,79,132,286,2,5
Friday,12,вечер,True,первый класс,85,window,15,White-Mitchell,film,-20,Дождь,49,True,True,True,153,96,224,588,1,2
Monday,09,ночь,False,эконом,215,story,23,"Harris, Soto and Rogers",side,36,Дождь,48,True,False,True,199,135,268,254,1,4
Saturday,03,утро,False,первый класс,106,citizen,9,Phillips and Sons,form,10,Снег,8,True,True,False,47,15,111,284,1,4
Saturday,09,утро,False,первый класс,106,culture,11,"Boyd, Johnson and Macias",whatever,7,Дождь,12,True,True,False,112,153,73,213,1,1
Sunday,09,утро,False,бизнес,223,western,15,"Bolton, Watson and Hart",military,21,Солнечно,31,True,True,False,189,8,255,365,1,3
Friday,11,утро,True,эконом,60,hold,14,Miller-Castro,cover,30,Снег,50,True,True,False,125,82,38,202,5,3
Sunday,07,ночь,True,бизнес,107,difference,13,Lane-Porter,follow,-5,Дождь,36,False,False,False,39,44,239,364,4,4
Thursday,06,ночь,False,бизнес,10,wait,15,Stokes Inc,general,19,Дождь,26,True,False,True,179,132,245,578,5,3
Friday,01,день,True,бизнес,103,power,21,Garcia-Alvarez,kitchen,22,Облачно,31,False,True,False,97,189,45,853,5,1
Friday,11,вечер,False,первый класс,198,point,4,Kennedy Group,series,10,Солнечно,23,True,False,True,34,40,25,732,4,1
Saturday,02,вечер,False,эконом,280,first,5,"Bowen, White and Perez",present,34,Дождь,41,False,True,True,151,155,43,327,3,2
Wednesday,12,утро,False,эконом,164,employee,15,"Castillo, Davis and Gonzalez",market,2,Солнечно,16,True,True,True,11,19,139,653,1,2
Tuesday,12,ночь,True,первый класс,3,heavy,14,Johnson Inc,force,27,Солнечно,36,False,True,True,125,81,260,366,5,2
Tuesday,03,утро,False,первый класс,195,ground,5,Peters Ltd,wish,33,Дождь,17,False,True,True,164,83,227,573,2,1
Friday,05,ночь,True,эконом,162,trouble,14,"Rose, Rodriguez and Yates",under,21,Облачно,17,False,True,False,84,83,234,737,1,3
Saturday,10,утро,False,первый класс,21,establish,8,Smith LLC,in,20,Дождь,0,False,False,False,27,125,200,843,2,1
Monday,09,день,False,первый класс,289,analysis,20,Mcdonald and Sons,pass,19,Облачно,37,True,True,True,72,164,217,266,5,5
Friday,08,ночь,False,эконом,115,be,16,"Bentley, Jackson and Smith",the,18,Облачно,39,True,False,True,94,50,72,456,5,1
Saturday,08,утро,False,первый класс,128,kitchen,10,Gomez-Williams,talk,36,Облачно,33,True,True,True,53,5,77,838,1,3
Saturday,05,день,True,бизнес,123,claim,18,Reyes-Liu,present,36,Снег,22,False,False,True,13,88,292,836,4,5
Saturday,05,вечер,False,первый класс,162,also,3,Cole-Moore,analysis,9,Облачно,9,True,True,False,42,161,266,696,1,2
Sunday,10,ночь,False,бизнес,189,prevent,24,Turner-Jones,kitchen,-8,Дождь,44,False,False,False,5,108,97,916,2,3
Friday,03,день,True,эконом,276,school,17,"Johnson, Blevins and Smith",wait,18,Снег,28,False,False,False,21,76,112,794,3,5
Thursday,01,день,True,бизнес,15,soon,19,"Rodriguez, Flores and Roth",question,-6,Облачно,8,True,True,False,146,4,37,964,3,5
Saturday,10,день,False,эконом,65,also,12,"Neal, King and Banks",economic,4,Дождь,0,True,True,False,177,76,292,394,3,2
Saturday,10,день,False,первый класс,231,newspaper,8,Nichols-Perez,who,7,Облачно,14,True,True,False,187,159,208,837,4,4
Thursday,05,день,False,бизнес,218,little,24,"Howard, Rodriguez and Hunt",clear,9,Снег,2,False,False,False,192,94,85,713,2,3
Sunday,05,ночь,True,первый класс,171,assume,3,Perez-Cowan,daughter,33,Облачно,15,False,True,False,163,150,267,235,2,5
Monday,01,вечер,True,бизнес,105,both,21,Larson LLC,by,12,Дождь,28,False,True,False,171,130,41,163,5,1
Saturday,10,день,True,эконом,285,modern,16,Gonzales and Sons,special,12,Дождь,11,True,True,False,34,179,265,947,3,1
Friday,03,ночь,True,эконом,20,than,15,Garcia and Sons,at,25,Солнечно,21,False,True,False,40,111,115,652,1,3
Monday,10,ночь,True,эконом,103,provide,11,Martin-Williams,large,13,Облачно,50,False,False,False,30,44,86,636,2,5
Wednesday,03,день,False,первый класс,54,close,14,Gardner-Flores,write,9,Облачно,17,True,True,False,188,196,196,278,1,1
Tuesday,04,ночь,False,первый класс,151,cup,4,Carter Inc,yard,0,Дождь,43,False,False,False,140,23,273,682,5,5
Monday,01,ночь,False,первый класс,220,help,9,Johnson Ltd,generation,7,Солнечно,38,False,True,False,82,197,242,305,3,3
Monday,06,ночь,True,первый класс,229,process,2,"Oconnell, Stanton and Daugherty",carry,6,Облачно,2,False,False,False,9,131,15,872,5,3
Saturday,10,утро,True,эконом,227,evening,16,Choi LLC,animal,13,Дождь,5,False,False,True,70,193,67,385,3,4
Saturday,10,вечер,True,первый класс,186,part,22,Davis and Sons,support,4,Дождь,1,False,False,True,172,64,162,711,5,4
Saturday,07,утро,False,первый класс,15,large,16,Jones-Smith,hundred,-4,Снег,43,False,False,False,109,89,186,535,1,5
Thursday,12,утро,True,бизнес,285,collection,20,"Williams, Donovan and Johnson",individual,8,Снег,22,False,False,False,92,51,78,888,3,3
Tuesday,05,вечер,False,бизнес,94,with,1,Mosley Group,husband,-10,Облачно,6,False,False,False,168,154,186,237,1,4
Sunday,12,утро,False,бизнес,278,foreign,17,"Strong, Lewis and Thomas",consider,25,Облачно,18,False,False,True,191,153,214,492,2,3
Monday,04,вечер,False,бизнес,208,western,2,"Vargas, Thompson and Bradley",turn,-10,Дождь,41,True,False,False,79,173,111,259,5,2
Monday,11,утро,True,первый класс,242,now,22,Blake PLC,whom,10,Снег,19,True,True,True,116,183,7,802,3,5
Thursday,11,ночь,False,эконом,15,yeah,6,Bryant-Bell,inside,-13,Снег,23,False,True,False,184,183,233,338,4,5
Sunday,08,вечер,False,эконом,111,surface,2,"Dickson, Holt and Garcia",couple,29,Солнечно,30,False,False,True,165,128,135,370,2,3
Tuesday,05,утро,False,эконом,274,about,7,Bass-Jenkins,local,26,Дождь,14,False,True,False,6,139,219,550,4,1
Thursday,12,утро,True,эконом,32,generation,9,"Williams, Carter and Cooley",situation,31,Снег,46,False,False,True,149,136,79,296,4,2
Monday,11,день,True,бизнес,142,break,12,Price-Kim,drug,-18,Дождь,21,True,True,True,16,187,73,123,3,4
Monday,03,вечер,True,бизнес,7,think,24,White-Mosley,officer,-7,Облачно,25,False,True,True,27,174,50,179,5,2
Wednesday,06,день,False,бизнес,219,anyone,8,Sawyer-Mata,stop,-14,Снег,23,False,True,False,24,92,56,443,4,3
Monday,01,вечер,True,первый класс,158,rest,21,Oneill Group,management,5,Дождь,44,False,True,False,125,187,189,336,5,5
Thursday,12,день,True,эконом,194,yeah,23,Mcguire and Sons,body,21,Солнечно,31,True,False,False,95,5,213,271,3,4
Saturday,12,ночь,False,первый класс,218,forget,14,"Fox, Smith and Booker",training,2,Облачно,35,True,True,True,129,81,288,995,4,4
Tuesday,08,ночь,True,бизнес,84,begin,5,"Jones, Macdonald and Lucero",order,32,Солнечно,43,True,False,True,99,51,150,854,3,4
Monday,04,день,False,бизнес,169,station,2,Fernandez-Johnson,our,18,Солнечно,6,False,False,True,152,197,68,957,1,5
Monday,09,вечер,True,первый класс,44,grow,20,Dickerson-Ruiz,major,-12,Дождь,39,False,True,False,120,174,55,547,1,1
Sunday,12,вечер,False,первый класс,131,magazine,9,"Rowe, Roy and Hayes",beat,13,Дождь,23,True,False,False,4,2,144,549,5,4
Sunday,10,ночь,True,первый класс,173,will,19,Hart-Wagner,matter,4,Дождь,1,False,True,True,103,44,94,701,1,3
Friday,08,ночь,True,первый класс,196,little,5,Oneill-Zhang,play,19,Дождь,46,False,True,True,61,192,13,661,1,3
Sunday,11,вечер,False,первый класс,62,cold,6,Williams-Schultz,fish,24,Дождь,50,True,True,False,19,83,22,432,4,4
Saturday,05,день,True,первый класс,187,college,2,Peters-Jones,reality,-14,Облачно,13,True,False,False,145,184,5,422,2,3
Wednesday,07,вечер,False,первый класс,72,owner,22,Johnson-Hicks,research,40,Снег,32,False,False,True,166,106,214,115,3,1
Saturday,09,вечер,False,эконом,248,key,9,"Nelson, Norton and Brown",collection,14,Облачно,12,False,False,False,78,0,226,982,5,2
Wednesday,09,день,False,первый класс,144,once,21,Bass-Neal,big,-16,Облачно,47,False,True,False,44,78,75,309,1,4
Sunday,04,день,True,эконом,255,expect,1,Manning-Moses,next,21,Облачно,5,False,True,True,89,134,42,102,1,2
Wednesday,11,вечер,False,бизнес,271,up,7,Ramirez-Jensen,American,18,Снег,38,True,True,False,3,24,102,393,3,3
Wednesday,12,день,True,первый класс,215,area,4,"Castillo, Stone and Compton",low,31,Снег,40,True,True,True,28,98,183,514,2,2
Sunday,11,ночь,False,первый класс,142,list,1,"Vaughn, Patel and Powell",read,-10,Солнечно,18,False,True,True,112,111,103,496,2,2
Friday,10,вечер,False,эконом,206,whose,6,Kim-Evans,anything,33,Облачно,18,False,True,False,85,75,167,355,4,3
Monday,11,день,False,первый класс,159,trade,6,"Vazquez, Rodriguez and Fitzpatrick",include,18,Снег,4,False,False,True,113,57,87,237,2,4
Wednesday,10,утро,True,эконом,26,without,11,Medina PLC,you,28,Облачно,15,True,True,False,81,80,100,314,2,4
Monday,02,вечер,False,первый класс,185,north,17,Brown Group,play,10,Дождь,31,True,False,True,170,62,195,271,3,1
Wednesday,01,день,True,бизнес,151,beat,15,"Ward, Mason and Kennedy",approach,26,Солнечно,45,False,True,True,198,189,205,586,1,5
Monday,08,день,True,эконом,236,very,18,Simon Ltd,bit,-5,Снег,11,False,False,True,164,193,81,253,1,3
Sunday,06,день,True,первый класс,290,president,4,Campbell Inc,speak,-12,Снег,30,False,True,False,142,29,179,453,1,2
Sunday,04,день,True,первый класс,120,tell,21,Short-Garcia,until,28,Облачно,35,True,True,True,110,55,269,438,5,2
Thursday,06,ночь,True,бизнес,216,dinner,14,Sharp-Wallace,hard,-4,Дождь,4,False,True,True,172,42,289,587,2,3
Thursday,03,день,True,бизнес,269,suddenly,17,Higgins LLC,safe,0,Снег,13,False,True,True,143,150,212,207,5,3
Tuesday,02,вечер,True,эконом,145,forget,1,Barajas Inc,south,38,Дождь,25,True,False,False,177,87,42,865,4,4
Friday,12,ночь,True,эконом,29,south,19,"Pierce, Myers and Dickson",however,-9,Облачно,39,True,True,True,79,123,231,709,3,2
Thursday,12,вечер,False,бизнес,28,third,24,Peterson Inc,plan,-9,Снег,27,False,True,False,28,20,128,331,1,4
Tuesday,03,ночь,False,эконом,247,imagine,2,"Wagner, Mccall and Elliott",teacher,36,Дождь,6,False,False,False,22,151,138,552,2,3
Tuesday,09,вечер,False,первый класс,50,major,20,Payne-Garcia,town,15,Облачно,19,True,True,True,175,15,199,517,5,1
Monday,10,вечер,False,первый класс,199,book,10,"Fisher, Hall and Brown",visit,36,Дождь,49,True,False,True,58,150,37,982,5,1
Sunday,05,вечер,False,первый класс,161,daughter,22,"Landry, Smith and Meyers",sort,1,Солнечно,21,True,False,False,73,15,180,583,4,1
Saturday,12,день,True,первый класс,233,bill,21,Parker-Arnold,notice,22,Солнечно,18,True,False,False,68,118,205,648,5,1
Saturday,07,день,True,эконом,112,recent,2,Bowers-Cruz,these,6,Облачно,20,True,True,True,167,100,218,715,5,3
Saturday,05,день,True,бизнес,111,few,6,Hunter LLC,side,-6,Снег,19,True,False,True,91,178,70,372,3,4
Sunday,05,день,True,первый класс,111,instead,14,"James, Wall and Reed",water,-18,Дождь,47,True,False,True,43,59,150,857,1,5
Saturday,03,ночь,True,первый класс,242,member,21,Green Group,us,24,Солнечно,3,True,False,False,104,25,200,235,5,4
Sunday,05,день,False,бизнес,87,fine,2,Cox and Sons,step,38,Дождь,24,False,False,True,101,130,59,301,4,1
Monday,07,вечер,True,бизнес,47,plant,18,Burgess-Combs,commercial,-10,Снег,38,False,True,True,167,44,13,361,4,3
Sunday,05,вечер,True,первый класс,128,guy,2,Cox Group,course,-6,Облачно,48,True,True,False,91,110,202,309,4,1
Monday,06,день,True,бизнес,16,first,9,"Cannon, Gray and Sullivan",discover,8,Облачно,2,True,True,True,36,7,212,882,4,5
Monday,06,ночь,True,бизнес,279,several,21,Wu-Holloway,education,23,Дождь,9,True,False,True,111,119,33,806,3,3
Thursday,04,день,False,первый класс,261,can,10,Gonzalez Ltd,middle,15,Снег,36,True,True,False,20,57,171,644,2,4
Friday,10,ночь,True,эконом,1,decade,18,Holt-Boyd,similar,22,Снег,3,False,False,True,108,150,148,440,2,1
Friday,03,утро,False,бизнес,296,type,6,Cruz LLC,serious,1,Облачно,47,False,False,True,26,20,148,505,2,5
Monday,10,утро,False,бизнес,101,party,6,Carr-Cochran,own,31,Снег,4,False,False,True,200,140,58,110,2,2
Wednesday,04,ночь,True,бизнес,209,question,24,Haynes Group,concern,-11,Снег,13,True,True,True,9,29,97,125,5,1
Monday,03,день,False,бизнес,271,many,10,"Lynch, Phillips and Burnett",protect,2,Облачно,33,False,True,True,95,135,211,943,4,1
Wednesday,03,ночь,False,бизнес,139,mention,22,Ayala-Hart,similar,37,Солнечно,11,True,False,False,99,51,17,253,4,3
Sunday,10,день,True,эконом,94,check,9,"Daniels, Thomas and Shelton",former,-15,Снег,31,True,False,False,14,123,109,420,2,4
Thursday,09,утро,False,первый класс,146,sound,21,"Munoz, Hoffman and Larson",dog,11,Солнечно,31,False,True,False,187,172,249,823,4,3
Monday,02,день,False,бизнес,177,conference,6,"Miles, Combs and Frank",better,-15,Снег,6,True,True,False,20,90,209,445,3,4
Friday,06,вечер,True,первый класс,234,fish,22,"Lopez, Henderson and Heath",those,37,Дождь,48,False,False,True,62,73,234,587,2,2
Friday,08,день,True,эконом,148,in,11,Haas and Sons,service,3,Дождь,27,True,False,True,132,59,142,779,2,1
Friday,10,вечер,True,бизнес,73,boy,23,"Elliott, Clark and Turner",hope,28,Снег,20,False,True,True,187,112,171,705,3,1
Sunday,12,ночь,True,эконом,223,according,2,"Sandoval, Gray and Coleman",hotel,-10,Солнечно,49,True,True,False,177,153,239,390,2,2
Saturday,09,день,False,эконом,183,no,3,Lee-Gonzalez,common,-14,Солнечно,47,True,True,True,134,62,280,821,1,1
Wednesday,10,утро,False,бизнес,44,environmental,3,Griffin Ltd,recent,-14,Дождь,45,True,False,True,119,23,267,206,5,5
Tuesday,04,вечер,True,бизнес,285,crime,6,"Hoffman, Ward and Castro",describe,37,Солнечно,30,True,False,False,184,35,74,934,2,5
Tuesday,07,ночь,True,бизнес,293,challenge,19,Mcknight-Washington,pull,33,Снег,26,False,False,False,2,184,48,264,2,2
Tuesday,12,день,True,эконом,124,offer,3,Steele-Alexander,animal,39,Снег,24,True,False,True,143,70,295,678,4,5
Monday,02,день,True,бизнес,227,itself,10,Turner-Harrison,accept,6,Солнечно,43,False,True,False,66,110,234,754,2,1
Friday,12,утро,True,первый класс,104,major,20,Ford LLC,look,35,Солнечно,12,False,False,True,87,70,269,363,5,5
Wednesday,06,день,False,бизнес,246,remain,18,Blair Inc,third,-15,Снег,31,True,True,False,97,121,69,223,2,5
Sunday,11,утро,True,бизнес,32,resource,13,Cook PLC,clear,6,Дождь,50,False,False,False,80,153,156,277,4,1
Wednesday,04,день,False,бизнес,166,million,24,Browning-Aguilar,run,28,Облачно,27,True,True,True,92,184,236,972,2,1
Sunday,12,день,True,бизнес,3,go,9,Stafford Inc,here,-4,Солнечно,33,True,True,True,130,153,231,280,2,5
Thursday,03,день,True,первый класс,113,street,19,"Johnson, Rosario and Roberts",owner,18,Снег,20,True,False,True,197,198,232,618,1,1
Monday,09,вечер,True,первый класс,229,language,18,Walker-Ward,father,-20,Дождь,19,True,True,False,21,53,112,342,4,1
Monday,10,ночь,False,эконом,209,relationship,9,Garza Ltd,current,5,Снег,40,True,False,False,166,134,42,327,5,3
Wednesday,10,день,False,первый класс,177,wear,21,Robinson-Wilson,notice,9,Дождь,15,False,False,True,36,50,149,672,5,3
Thursday,10,ночь,True,бизнес,58,Mr,6,Sullivan-Rush,rate,-19,Облачно,6,True,False,True,184,108,135,423,1,4
Thursday,10,день,True,первый класс,226,experience,17,West-Kline,religious,1,Солнечно,27,True,False,True,116,189,273,339,3,1
Wednesday,12,день,False,бизнес,197,per,20,Burch PLC,single,39,Солнечно,21,False,True,False,19,186,224,307,4,5
Saturday,07,вечер,True,первый класс,269,cultural,17,Schultz-Davis,might,22,Солнечно,33,True,True,False,188,10,71,897,1,2
Saturday,02,вечер,True,эконом,62,level,1,Smith PLC,win,7,Облачно,13,False,False,False,195,26,236,542,2,1
Sunday,11,вечер,False,первый класс,44,newspaper,12,Moran-Torres,woman,-7,Снег,34,True,True,True,115,162,92,345,5,2
Tuesday,07,утро,False,бизнес,228,front,7,"Cohen, Ramirez and Rogers",marriage,-6,Дождь,13,False,False,False,33,111,267,611,1,4
Tuesday,10,день,True,эконом,176,mission,20,Newton PLC,it,29,Солнечно,23,True,False,False,196,149,278,763,3,1
Thursday,05,утро,True,эконом,255,arm,23,"Ellis, Vargas and Roberts",hand,21,Дождь,23,False,False,True,18,110,90,539,1,5
Sunday,03,день,False,бизнес,161,very,14,Calderon Inc,go,2,Дождь,38,False,True,False,200,138,102,549,4,2
Tuesday,03,вечер,True,эконом,293,often,14,Thomas-Robinson,method,5,Облачно,20,True,False,False,129,132,133,893,4,3
Saturday,08,день,False,бизнес,80,letter,11,Wright Ltd,simply,9,Солнечно,11,True,False,False,133,95,148,415,4,4
Monday,08,ночь,True,первый класс,287,figure,7,Johnson and Sons,though,29,Облачно,28,True,False,True,114,169,183,204,3,5
Monday,03,ночь,True,эконом,290,mother,6,"Mccarthy, Hall and Williams",most,13,Облачно,9,True,False,True,59,186,78,109,3,2
Tuesday,04,утро,True,бизнес,3,investment,7,Owens PLC,step,-12,Снег,6,True,False,False,28,171,252,291,3,2
Wednesday,07,вечер,False,бизнес,47,run,1,Daniel-Lang,certain,34,Снег,22,False,True,True,104,24,172,129,1,5
Friday,03,вечер,True,бизнес,247,color,18,Rose-Hoover,game,20,Облачно,25,True,False,True,162,23,149,568,3,2
Friday,12,вечер,False,первый класс,205,girl,13,"Harding, Johnson and Garcia",son,-14,Солнечно,32,False,False,False,154,25,286,911,4,3
Wednesday,08,вечер,True,бизнес,146,tonight,10,Lee Group,site,1,Облачно,5,False,True,True,71,67,82,270,5,1
Friday,06,день,True,первый класс,163,security,10,"Boyd, Gomez and Ray",power,6,Солнечно,3,True,True,True,58,23,158,534,3,2
Thursday,12,ночь,True,бизнес,27,million,11,"Simon, Foster and Schwartz",arm,2,Облачно,43,False,True,True,155,114,257,344,5,2
Tuesday,08,вечер,True,первый класс,229,bring,23,Burke-Gutierrez,usually,-18,Дождь,49,True,True,True,74,116,176,519,3,4
Thursday,04,вечер,False,эконом,123,author,9,Blair-Thomas,group,0,Снег,22,True,True,False,133,168,194,449,2,5
Saturday,09,день,True,первый класс,45,beautiful,11,"Riley, Rice and Cooper",wish,-17,Облачно,14,False,True,False,13,162,176,367,2,5
Friday,03,день,False,первый класс,17,group,6,Burns PLC,another,-18,Дождь,22,False,False,True,48,32,93,604,5,4
Friday,11,ночь,True,первый класс,194,risk,9,Ibarra Inc,possible,8,Облачно,23,True,True,False,84,74,82,414,2,2
Sunday,06,утро,False,бизнес,238,finally,7,Morales LLC,various,-6,Снег,5,True,False,False,163,51,77,212,1,2
Wednesday,11,день,False,бизнес,247,ahead,19,Burns PLC,fast,-2,Облачно,43,True,True,True,51,56,2,289,5,5
Tuesday,04,утро,True,эконом,231,add,23,"Kim, Hutchinson and Hernandez",relationship,27,Солнечно,27,True,False,True,109,36,238,115,1,5
Monday,10,вечер,True,эконом,40,like,16,Steele Group,news,28,Облачно,48,True,False,True,181,106,10,286,5,3
Tuesday,07,вечер,False,эконом,263,will,5,"Wallace, Shelton and Huff",find,-20,Снег,23,False,False,True,145,145,140,759,4,3
Saturday,12,день,True,эконом,18,laugh,20,Robinson-Reynolds,someone,-6,Снег,49,True,False,True,100,197,242,384,1,5
Saturday,07,вечер,False,эконом,241,wife,4,Brown-Lopez,together,-14,Солнечно,4,True,False,True,111,125,192,548,4,1
Monday,01,день,True,бизнес,200,meet,22,Hall-Jones,receive,18,Дождь,22,False,True,False,162,95,9,925,3,2
Thursday,12,ночь,False,эконом,100,operation,3,Robinson-Collins,sound,-1,Дождь,3,False,False,True,37,150,136,730,1,2
Saturday,03,день,False,первый класс,243,upon,10,"Jackson, Dixon and Craig",here,29,Снег,8,True,True,False,143,27,135,396,1,1
Saturday,09,утро,True,первый класс,173,spring,3,"Scott, Thomas and Hill",world,8,Снег,1,False,True,False,177,37,59,848,5,4
Friday,09,день,True,эконом,64,suddenly,9,Smith Inc,full,23,Облачно,45,True,False,True,29,116,7,515,1,5
Friday,08,ночь,False,первый класс,68,share,22,White-Shields,community,24,Дождь,17,True,False,False,164,181,233,862,3,1
Friday,04,утро,False,бизнес,84,student,14,Johnson-Black,born,-20,Снег,2,False,False,True,141,151,287,185,4,3
Wednesday,06,вечер,True,первый класс,175,environment,8,Holmes LLC,probably,28,Дождь,1,False,False,True,97,137,65,699,2,2
Tuesday,07,ночь,True,эконом,179,near,12,"White, Montgomery and Walker",social,34,Снег,31,True,False,True,166,90,23,197,4,5
Wednesday,08,ночь,False,эконом,168,fear,21,Tanner Group,task,-15,Облачно,8,True,True,False,106,137,270,899,4,4
Thursday,07,вечер,False,эконом,167,service,21,"Foster, Smith and Hernandez",about,-5,Дождь,22,False,False,False,40,77,118,158,4,5
Saturday,03,день,False,эконом,296,management,9,Alvarado PLC,on,-1,Дождь,29,True,True,True,150,155,276,769,5,2
Monday,10,вечер,False,эконом,292,attention,4,"Gonzales, Walker and Salinas",building,-14,Облачно,13,True,True,True,144,181,188,986,3,3
Monday,09,день,False,эконом,217,necessary,11,Thompson-Townsend,build,24,Дождь,17,False,True,False,14,173,71,285,2,4
Sunday,07,день,True,бизнес,164,thank,21,Chandler-Garcia,record,7,Облачно,45,False,True,True,191,39,115,996,2,5
Thursday,07,утро,True,первый класс,248,trouble,7,Osborne and Sons,you,-1,Солнечно,35,True,True,True,172,6,105,906,4,5
Tuesday,02,утро,False,эконом,237,just,7,"Williams, Jordan and Anderson",argue,23,Солнечно,36,True,True,False,35,181,51,714,5,5
Sunday,09,вечер,True,первый класс,152,gun,2,Burns Ltd,better,10,Облачно,29,False,True,False,191,72,10,293,5,3
Friday,04,вечер,True,эконом,248,doctor,21,"Wise, Lam and Thomas",itself,-16,Дождь,36,False,False,False,118,148,105,866,4,2
Thursday,10,ночь,True,бизнес,190,quickly,22,Serrano Inc,toward,33,Облачно,9,False,False,True,78,76,233,501,2,4
